,RK,TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR
172,13,New York Knicks,82,19780,43.1,87.9,0.49,1.2,4.4,0.263,41.9,83.5,0.502,23.7,31.2,0.7609999999999999,16.4,30.1,46.5,26.5,9.4,4.9,17.4,24.0,111.1,1987
173,14,Dallas Mavericks,82,19880,43.1,90.1,0.478,1.5,5.2,0.295,41.5,84.9,0.489,21.0,27.5,0.763,15.1,28.7,43.7,27.7,6.9,5.1,16.0,25.7,108.7,1987
174,15,Seattle SuperSonics,82,19855,41.7,87.0,0.479,1.1,3.8,0.287,40.6,83.2,0.488,25.7,33.5,0.768,14.7,27.0,41.7,24.0,8.7,4.9,15.9,24.1,110.3,1987
175,16,San Antonio Spurs,82,19805,44.1,87.1,0.507,1.3,4.5,0.28,42.9,82.6,0.519,21.3,28.2,0.755,13.1,29.3,42.4,28.3,8.3,5.5,16.9,22.0,110.8,1987
176,17,New Jersey Nets,82,19855,40.6,84.6,0.48,1.4,4.3,0.322,39.2,80.2,0.488,27.9,35.8,0.78,13.4,27.9,41.3,23.2,9.7,6.7,16.1,25.2,110.5,1987
177,18,Phoenix Suns,82,19855,42.9,86.9,0.494,1.5,4.7,0.311,41.5,82.3,0.504,23.0,30.5,0.7559999999999999,14.6,27.9,42.5,26.6,9.5,5.2,16.9,24.1,110.3,1987
178,19,Sacramento Kings,82,19780,43.8,89.4,0.489,1.5,4.7,0.316,42.3,84.7,0.499,23.0,29.9,0.769,13.9,28.2,42.1,25.8,8.5,5.8,14.5,24.8,112.1,1987
179,20,Golden State Warriors,82,19905,42.9,87.0,0.493,1.8,5.5,0.337,41.0,81.6,0.503,23.7,31.6,0.7490000000000001,14.8,29.4,44.2,25.8,8.2,5.3,16.7,24.3,111.2,1987
180,21,Portland Trail Blazers,82,19805,42.1,86.8,0.485,1.3,4.9,0.276,40.8,82.0,0.49700000000000005,23.0,29.9,0.7709999999999999,13.9,26.3,40.2,25.3,8.5,5.5,17.4,25.7,108.6,1987
181,22,Los Angeles Clippers,82,19780,44.4,85.7,0.518,1.3,3.8,0.344,43.1,82.0,0.526,22.2,29.7,0.746,14.0,31.2,45.3,28.6,9.5,6.3,18.1,23.9,112.3,1987
182,23,Denver Nuggets,82,19780,41.6,83.9,0.495,1.3,4.1,0.313,40.3,79.8,0.505,25.8,33.2,0.777,13.3,31.1,44.4,25.0,6.4,5.2,17.9,24.5,110.2,1987
